h3_cell,CreationDate,when_did_you_lose_water,when_did_you_regain_water,to_what_extent_did_you_lose_wat
892a8d9a26fffff,2025-01-08T20:54:09+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a163ffff,2025-01-08T20:56:17+00:00,2025-01-07T21:00:00+00:00,2025-01-09T13:00:00+00:00,Down to just a trickle
892a8d9a06bffff,2025-01-08T20:57:10+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a20fffff,2025-01-08T20:59:30+00:00,2025-01-06T20:00:00+00:00,,
892a8d9856bffff,2025-01-08T21:01:00+00:00,2025-01-06T20:59:00+00:00,,Fully lost water
892a8d9ae73ffff,2025-01-08T21:08:18+00:00,2025-01-07T16:07:00+00:00,,
892a8d9a30bffff,2025-01-08T21:11:19+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a2a3ffff,2025-01-08T21:14:35+00:00,2025-01-06T21:16:00+00:00,,
892a8d985d7ffff,2025-01-08T21:16:03+00:00,2025-01-07T23:00:00+00:00,2025-01-08T18:00:00+00:00,
892a8d9a233ffff,2025-01-08T21:17:23+00:00,2025-01-06T20:11:00+00:00,,
892a8d9a257ffff,2025-01-08T21:18:33+00:00,2025-01-06T21:00:00+00:00,,
892a8d91343ffff,2025-01-08T21:19:48+00:00,2025-01-06T21:18:00+00:00,2025-01-06T21:19:00+00:00,Water pressure was reduced
892a8d9a273ffff,2025-01-08T21:26:55+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a06fffff,2025-01-08T21:29:19+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a203ffff,2025-01-08T21:31:22+00:00,2025-01-06T20:30:00+00:00,2025-01-08T20:00:00+00:00,Fully lost water
892a8d9a263ffff,2025-01-08T21:33:33+00:00,2025-01-06T18:33:00+00:00,,
892a8d9a22fffff,2025-01-08T21:34:03+00:00,2025-01-06T21:00:00+00:00,,
892a8d9ad07ffff,2025-01-08T21:39:46+00:00,2025-01-06T23:30:00+00:00,2025-01-08T21:30:00+00:00,
892a8d9a5d3ffff,2025-01-08T21:50:22+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a2afffff,2025-01-08T21:51:03+00:00,2025-01-06T20:45:00+00:00,2025-01-08T21:50:00+00:00,
892a8d9b1abffff,2025-01-08T21:51:06+00:00,2025-01-07T01:00:00+00:00,2025-01-08T11:00:00+00:00,
892a8d9a3c7ffff,2025-01-08T21:51:10+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a153ffff,2025-01-08T21:52:06+00:00,2025-01-06T21:51:00+00:00,,
892a8d9a147ffff,2025-01-08T21:53:23+00:00,2025-01-07T13:15:00+00:00,,
892a8d9a357ffff,2025-01-08T21:53:51+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a22bffff,2025-01-08T21:54:14+00:00,2025-01-06T20:50:00+00:00,2025-01-08T21:00:00+00:00,
892aab64d97ffff,2025-01-08T21:56:47+00:00,2025-01-07T21:55:00+00:00,2025-01-08T21:56:00+00:00,
892a8d9a22fffff,2025-01-08T21:59:09+00:00,2025-01-06T21:58:00+00:00,,
892a8d9a247ffff,2025-01-08T22:03:22+00:00,2025-01-06T18:00:00+00:00,,
892a8d9a147ffff,2025-01-08T22:12:52+00:00,2025-01-06T22:12:00+00:00,,
892a8d9a233ffff,2025-01-08T22:15:23+00:00,2025-01-06T21:15:00+00:00,2025-01-08T20:30:00+00:00,
892a8d9aa83ffff,2025-01-08T22:15:47+00:00,2025-01-06T19:05:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a157ffff,2025-01-08T22:16:09+00:00,2025-01-07T01:13:00+00:00,,
892a8d9a17bffff,2025-01-08T22:20:47+00:00,2025-01-07T03:00:00+00:00,,
892a8d9ac0bffff,2025-01-08T22:22:07+00:00,2025-01-07T06:00:00+00:00,2025-01-08T15:00:00+00:00,
892a8d98ecbffff,2025-01-08T22:24:36+00:00,2025-01-07T10:00:00+00:00,2025-01-07T19:00:00+00:00,
892a8d9a223ffff,2025-01-08T22:26:43+00:00,2025-01-06T22:26:00+00:00,,
892a8d98547ffff,2025-01-08T22:30:17+00:00,2025-01-07T01:30:00+00:00,2025-01-08T22:29:00+00:00,
892a8d9a54fffff,2025-01-08T22:30:51+00:00,2025-01-06T20:45:00+00:00,2025-01-08T20:30:00+00:00,Down to just a trickle
